datetime,open,high,low,close,volume
1987-05-04,1.8784446491767928e+22,1.8784446491767928e+22,1.8784446491767928e+22,1.8784446491767928e+22,0.0
1987-05-05,1.852624724383143e+22,1.852624724383143e+22,1.852624724383143e+22,1.852624724383143e+22,0.0
1987-05-06,1.8132253208130643e+22,1.8132253208130643e+22,1.8132253208130643e+22,1.8132253208130643e+22,0.0
1987-05-07,1.8287178161212094e+22,1.8287178161212094e+22,1.8287178161212094e+22,1.8287178161212094e+22,0.0
1987-05-08,1.823551624398662e+22,1.823551624398662e+22,1.823551624398662e+22,1.823551624398662e+22,0.0
1987-05-11,1.8076794756419295e+22,1.8076794756419295e+22,1.8076794756419295e+22,1.8076794756419295e+22,0.0
1987-05-12,1.7912297402329867e+22,1.7912297402329867e+22,1.7912297402329867e+22,1.7912297402329867e+22,0.0
1987-05-13,1.768662652860196e+22,1.768662652860196e+22,1.768662652860196e+22,1.768662652860196e+22,0.0
1987-05-14,1.7932374449468685e+22,1.7932374449468685e+22,1.7932374449468685e+22,1.7932374449468685e+22,0.0
1987-05-15,1.7841552607583318e+22,1.7841552607583318e+22,1.7841552607583318e+22,1.7841552607583318e+22,0.0
1987-05-18,1.7493441244886181e+22,1.7493441244886181e+22,1.7493441244886181e+22,1.7493441244886181e+22,0.0
1987-05-19,1.7292614478502663e+22,1.7292614478502663e+22,1.7292614478502663e+22,1.7292614478502663e+22,0.0
1987-05-20,1.742842390296574e+22,1.742842390296574e+22,1.742842390296574e+22,1.742842390296574e+22,0.0
1987-05-21,1.742842390296574e+22,1.742842390296574e+22,1.742842390296574e+22,1.742842390296574e+22,0.0
1987-05-22,1.7280182291731306e+22,1.7280182291731306e+22,1.7280182291731306e+22,1.7280182291731306e+22,0.0
1987-05-25,1.712143603436603e+22,1.712143603436603e+22,1.712143603436603e+22,1.712143603436603e+22,0.0
1987-05-26,1.7107093195452762e+22,1.7107093195452762e+22,1.7107093195452762e+22,1.7107093195452762e+22,0.0
1987-05-27,1.7177630824616453e+22,1.7177630824616453e+22,1.7177630824616453e+22,1.7177630824616453e+22,0.0
1987-05-28,1.729931245704847e+22,1.729931245704847e+22,1.729931245704847e+22,1.729931245704847e+22,0.0
1987-05-29,1.742842390296574e+22,1.742842390296574e+22,1.742842390296574e+22,1.742842390296574e+22,0.0
1987-06-01,1.741598946439457e+22,1.741598946439457e+22,1.741598946439457e+22,1.741598946439457e+22,0.0
1987-06-02,1.741598946439457e+22,1.741598946439457e+22,1.741598946439457e+22,1.741598946439457e+22,0.0
1987-06-03,1.7545082895913332e+22,1.7545082895913332e+22,1.7545082895913332e+22,1.7545082895913332e+22,0.0
1987-06-04,1.7493441244886181e+22,1.7493441244886181e+22,1.7493441244886181e+22,1.7493441244886181e+22,0.0
1987-06-05,1.7557511704984968e+22,1.7557511704984968e+22,1.7557511704984968e+22,1.7557511704984968e+22,0.0
1987-06-08,1.7644541515984089e+22,1.7644541515984089e+22,1.7644541515984089e+22,1.7644541515984089e+22,0.0
1987-06-09,1.7648362820267913e+22,1.7648362820267913e+22,1.7648362820267913e+22,1.7648362820267913e+22,0.0
1987-06-10,1.7364348939267327e+22,1.7364348939267327e+22,1.7364348939267327e+22,1.7364348939267327e+22,0.0
1987-06-11,1.7331841957156966e+22,1.7331841957156966e+22,1.7331841957156966e+22,1.7331841957156966e+22,0.0
1987-06-12,1.742172367262012e+22,1.742172367262012e+22,1.742172367262012e+22,1.742172367262012e+22,0.0
1987-06-15,1.7679928550056153e+22,1.7679928550056153e+22,1.7679928550056153e+22,1.7679928550056153e+22,0.0
1987-06-16,1.8006024065974889e+22,1.8006024065974889e+22,1.8006024065974889e+22,1.8006024065974889e+22,0.0
1987-06-17,1.7977330506849004e+22,1.7977330506849004e+22,1.7977330506849004e+22,1.7977330506849004e+22,0.0
1987-06-18,1.797349118816667e+22,1.797349118816667e+22,1.797349118816667e+22,1.797349118816667e+22,0.0
1987-06-19,1.7942897109998036e+22,1.7942897109998036e+22,1.7942897109998036e+22,1.7942897109998036e+22,0.0
1987-06-22,1.7906563194104318e+22,1.7906563194104318e+22,1.7906563194104318e+22,1.7906563194104318e+22,0.0
1987-06-23,1.788360496910389e+22,1.788360496910389e+22,1.788360496910389e+22,1.788360496910389e+22,0.0
1987-06-24,1.7751646122322214e+22,1.7751646122322214e+22,1.7751646122322214e+22,1.7751646122322214e+22,0.0
1987-06-25,1.7815714330621187e+22,1.7815714330621187e+22,1.7815714330621187e+22,1.7815714330621187e+22,0.0
1987-06-26,1.7815714330621187e+22,1.7815714330621187e+22,1.7815714330621187e+22,1.7815714330621187e+22,0.0
1987-06-29,1.7550815978238975e+22,1.7550815978238975e+22,1.7550815978238975e+22,1.7550815978238975e+22,0.0
1987-06-30,1.742172367262012e+22,1.742172367262012e+22,1.742172367262012e+22,1.742172367262012e+22,0.0
